object_family,subfield,entry_kind,semantic_note,source_surface,write_semantics,review_status
seo,title,semantic_field,SEO title,admin_graphql_product_inputs,Product create/update,INITIAL_RESEARCH
seo,description,semantic_field,SEO meta description,admin_graphql_product_inputs,Product create/update,INITIAL_RESEARCH
unit_price_measurement,measurement,domain_value,measurement quantity/value,admin_graphql_variant_bulk_input,variant create/update,INITIAL_RESEARCH
unit_price_measurement,unit,domain_value,measurement unit,admin_graphql_variant_bulk_input,variant create/update,INITIAL_RESEARCH
inventory_item_measurement,weight,semantic_field,weight value+unit,admin_graphql_inventory,inventoryItemUpdate / nested variant input,INITIAL_RESEARCH
inventory_item_measurement,unit,semantic_field,measurement unit where exposed,admin_graphql_inventory,inventoryItemUpdate / nested variant input,INITIAL_RESEARCH
country_harmonized_system_code,countryCode,semantic_field,country context,admin_graphql_inventory,inventoryItemUpdate,INITIAL_RESEARCH
country_harmonized_system_code,harmonizedSystemCode,semantic_field,country-specific HS code,admin_graphql_inventory,inventoryItemUpdate,INITIAL_RESEARCH
inventory_quantity,name,domain_value,quantity state name,admin_graphql_inventory,inventory quantity mutations,INITIAL_RESEARCH
inventory_quantity,quantity,domain_value,quantity value,admin_graphql_inventory,inventory quantity mutations,INITIAL_RESEARCH
inventory_quantity_states,available,domain_value,named Shopify inventory quantity state: available,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,incoming,domain_value,named Shopify inventory quantity state: incoming,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,committed,domain_value,named Shopify inventory quantity state: committed,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,damaged,domain_value,named Shopify inventory quantity state: damaged,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,on_hand,domain_value,named Shopify inventory quantity state: on_hand,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,quality_control,domain_value,named Shopify inventory quantity state: quality_control,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,reserved,domain_value,named Shopify inventory quantity state: reserved,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_quantity_states,safety_stock,domain_value,named Shopify inventory quantity state: safety_stock,admin_graphql_inventory,mutation support varies by state/ownership; validate before certification,INITIAL_RESEARCH
inventory_set_quantities_input,inventoryItemId,connector_context,InventoryItem identity,admin_graphql_inventory_mutations,absolute set with compare-and-set; source-of-truth use only,INITIAL_RESEARCH
