source_id,subject_type,evidence_subject_key,source_kind,source_organization,source_title,source_url_or_state,source_ref_or_state,source_version,verified_at,evidence_locator,evidence_note
s001,field,field:gtin,official_web_doc,GS1,GTIN - Global Trade Item Number,https://www.gs1.org/standards/id-keys/gtin,not_applicable,unversioned,2026-07-15,Overview section,Universal canonical identifier definition.
s002,field,field:gtin,official_web_doc,schema.org,Product - gtin property,https://schema.org/gtin,not_applicable,unversioned,2026-07-15,Property definition,Second independent source for GTIN semantics.
s003,mapping,mapping:google_merchant:name:title:a002:unversioned,official_web_doc,Google,Product data specification - title attribute,https://support.google.com/merchants/answer/6324415,not_applicable,unversioned,2026-07-15,title attribute section,Official Google Merchant mapping for name.
s004,field,field:mpn,official_web_doc,Google,Product data specification - mpn attribute,https://support.google.com/merchants/answer/6324482,not_applicable,unversioned,2026-07-15,mpn attribute section,MPN may coexist with GTIN; variant binding varies by category.
s005,field,field:mpn,official_web_doc,schema.org,Product - mpn property,https://schema.org/mpn,not_applicable,unversioned,2026-07-15,Property definition,Second independent source for MPN.
s006,mapping,mapping:google_merchant:identifier_exists:identifier_exists:a009:unversioned,official_web_doc,Google,Product data specification - identifier_exists,https://support.google.com/merchants/answer/6324478,not_applicable,unversioned,2026-07-15,identifier_exists section,"False only when identifiers genuinely absent, not empty fields."
s007,field,field:name,repository_code,babypark,FieldDefinitionSeeder name,not_applicable,database/seeders/FieldDefinitionSeeder.php,develop@3c3f926,2026-07-15,systemAttributes() name entry,Internal platform field from seeder.
s008,field,field:price,repository_document,babypark,Attribute Dictionary - pricing boundary,not_applicable,docs/02-ATTRIBUTE_DICTIONARY.md,unversioned,2026-07-15,Initial System Attributes Seed - price,Pricing domain; not FieldDefinition-editable.
s009,field,field:price,repository_document,babypark,Domain Model - PriceResolver,not_applicable,docs/03-DOMAIN_MODEL.md,unversioned,2026-07-15,Pricing domain section,Second internal source for pricing_domain classification.
s010,alias,alias:name:uk:назва:import_header:global,repository_document,babypark,Import aliases seed list,not_applicable,docs/02-ATTRIBUTE_DICTIONARY.md,unversioned,2026-07-15,Import Aliases Setup section,Default seed alias for name.
s011,alias,alias:sku:en:sku:import_header:global,repository_document,babypark,ImportHeaderNormalizer specification,not_applicable,docs/02-ATTRIBUTE_DICTIONARY.md,unversioned,2026-07-15,Import Header Normalization section,Normalization steps; service not yet implemented in code.
s012,constraint,constraint:c002,official_web_doc,Google,Product data specification - title max length,https://support.google.com/merchants/answer/6324415,not_applicable,unversioned,2026-07-15,title best practices,150 character channel constraint.
s013,option,option:o001,official_web_doc,Google,Product data specification - condition,https://support.google.com/merchants/answer/6324469,not_applicable,unversioned,2026-07-15,Supported values: new,Condition option new.
s014,applicability,applicability:a001,official_web_doc,Google,Product data specification - mpn variant guidance,https://support.google.com/merchants/answer/6324482,not_applicable,unversioned,2026-07-15,Submit MPN section,Apparel size exception for shared MPN.
s015,field,field:has_energy_consumption_details,official_web_doc,schema.org,Product - hasEnergyConsumptionDetails,https://schema.org/hasEnergyConsumptionDetails,not_applicable,unversioned,2026-07-15,Property definition,Semantic only; EU legal obligation not confirmed.
s016,mapping,mapping:shopify:name:title:a003:2024-10,api_schema,Shopify,Product resource - title,https://shopify.dev/docs/api/admin-rest/latest/resources/product,not_applicable,2024-10,2026-07-15,Product properties table,Official Shopify Admin API field.
s017,field,field:identifier_exists,official_web_doc,Google,identifier_exists semantics,https://support.google.com/merchants/answer/6324478,not_applicable,unversioned,2026-07-15,When to set identifier_exists to false,Connector-only; do not infer from empty fields.
s018,field,field:accessory,repository_document,babypark,Domain Model - product associations,not_applicable,docs/03-DOMAIN_MODEL.md,unversioned,2026-07-15,Product relationships boundary,product_association_domain; not multi-select text.
s019,mapping,mapping:rozetka:rozetka_category_id:category_id:a019:undecided,repository_code,babypark,Product.rozetka_category_id column,not_applicable,database/migrations/2024_06_01_100001_create_products_table.php,develop@3c3f926,2026-07-15,rozetka_category_id column,No official Rozetka public schema found; marked partially_verified.
s020,constraint,constraint:c001,repository_document,babypark,Attribute Dictionary - name required,not_applicable,docs/02-ATTRIBUTE_DICTIONARY.md,unversioned,2026-07-15,Required for Product Creation,Core max_length undecided pending DB constraint review.
s021,field,field:brand,official_web_doc,Google,Product data specification - brand,https://support.google.com/merchants/answer/6324351,not_applicable,unversioned,2026-07-15,brand attribute section,Universal canonical brand field.
s022,field,field:brand,official_web_doc,schema.org,Product - brand property,https://schema.org/brand,not_applicable,unversioned,2026-07-15,brand on Product,Second independent source for brand.
s023,field,field:sku,repository_code,babypark,FieldDefinitionSeeder sku,not_applicable,database/seeders/FieldDefinitionSeeder.php,develop@3c3f926,2026-07-15,systemAttributes() sku entry,Internal platform SKU field.
s024,field,field:sku,official_web_doc,schema.org,Product - sku property,https://schema.org/sku,not_applicable,unversioned,2026-07-15,Property definition,Second source for SKU semantics.
s025,applicability,applicability:a025,official_web_doc,Google,Product data specification - mpn attribute,https://support.google.com/merchants/answer/6324482,not_applicable,unversioned,2026-07-16,mpn attribute section,General Google MPN applicability (all products; variant-level).
s026,constraint,constraint:c007,official_web_doc,Google,Product data specification - mpn max length,https://support.google.com/merchants/answer/6324482,not_applicable,unversioned,2026-07-16,mpn attribute section,String 1-70 characters when value is submitted.
s027,applicability,applicability:a027,repository_document,babypark,Canonical Product Field Registry - DEC-006,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-006 — age_group canonical value model,Global applicability for age_group canonical option existence; internal architecture decision not sourced externally.
s028,applicability,applicability:a028,repository_document,babypark,Canonical Product Field Registry - DEC-007,not_applicable,docs/CANONICAL_PRODUCT_FIELD_REGISTRY.md,unversioned,2026-07-16,DEC-007 — gender canonical value model,Global applicability for gender canonical option existence; internal architecture decision not sourced externally.
s029,applicability,applicability:a029,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,When to use section,Confirms age_group as a Google Merchant channel attribute; general applicability not restricted to category 166.
s030,applicability,applicability:a030,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,When to use section,Confirms gender as a Google Merchant channel attribute; general applicability not restricted to category 166.
s031,option,option:o009,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values: Newborn,Newborn 0-3 months.
s032,option,option:o010,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values: Infant,Infant 3-12 months.
s033,option,option:o011,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values: Toddler,Toddler 1-5 years.
s034,option,option:o012,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values: Kids,Kids 5-13 years.
s035,option,option:o013,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values: Adult,Adult 13+ years.
s036,option,option:o014,repository_document,Shopify,product-taxonomy attributes.yml - Target gender,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,target_gender__female entry,Canonical gender set sourced from Shopify Standard Product Taxonomy.
s037,option,option:o015,repository_document,Shopify,product-taxonomy attributes.yml - Target gender,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,target_gender__male entry,Canonical gender set sourced from Shopify Standard Product Taxonomy.
s038,option,option:o016,repository_document,Shopify,product-taxonomy attributes.yml - Target gender,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,target_gender__unisex entry,Canonical gender set sourced from Shopify Standard Product Taxonomy.
s039,option,option:o017,repository_document,Shopify,product-taxonomy attributes.yml - Target gender,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,target_gender__other entry,No Google equivalent; Shopify-only canonical value.
s040,mapping,mapping:google_merchant:age_group:age_group:a029:unversioned,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Format section,Field-level mapping age_group -> google age_group.
s041,mapping,mapping:google_merchant:gender:gender:a030:unversioned,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,Format section,Field-level mapping gender -> google gender.
s042,option_mapping,option_mapping:om005,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,newborn identity mapping.
s043,option_mapping,option_mapping:om006,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,infant identity mapping.
s044,option_mapping,option_mapping:om007,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,toddler identity mapping.
s045,option_mapping,option_mapping:om008,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,kids identity mapping.
s046,option_mapping,option_mapping:om009,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,adult identity mapping.
s047,option_mapping,option_mapping:om010,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,Supported values,female identity mapping.
s048,option_mapping,option_mapping:om011,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,Supported values,male identity mapping.
s049,option_mapping,option_mapping:om012,official_web_doc,Google,Gender [gender] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324479?hl=en,not_applicable,unversioned,2026-07-16,Supported values,unisex identity mapping.
s050,decision,decision:DEC-006,official_web_doc,Google,Age group [age_group] - Google Merchant Center Help,https://support.google.com/merchants/answer/6324463?hl=en,not_applicable,unversioned,2026-07-16,Supported values,Primary evidence for DEC-006 canonical profile choice.
s051,decision,decision:DEC-007,repository_document,Shopify,product-taxonomy attributes.yml - Target gender,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,target_gender attribute,Primary evidence for DEC-007 canonical superset choice.
s052,decision,decision:DEC-006,repository_document,Shopify,product-taxonomy attributes.yml - Age group,https://github.com/Shopify/product-taxonomy/blob/main/data/attributes.yml,not_applicable,unversioned,2026-07-16,age_group attribute (12 values),"Evidence for the deferred, structurally different Shopify 12-value alternative discussed in DEC-006."
