surface,scope,version_scope,primary_role,read_write_semantics,inventory_use,refresh_model,authoritative_url
admin_graphql_product,Shopify Admin,2026-07 latest stable,Product authoritative Admin object,READ; WRITE via ProductCreateInput/ProductUpdateInput mutations,Product scalar/content/context inventory,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/Product
admin_graphql_product_inputs,Shopify Admin,2026-07 latest stable,Product create/update write schema,WRITE,prove writable Product fields and destructive/redirect semantics,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/input-objects/ProductUpdateInput
admin_graphql_variant,Shopify Admin,2026-07 latest stable,ProductVariant authoritative Admin object,READ; WRITE via bulk/set mutations,Variant identity/options/pricing/media/publication inventory,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/ProductVariant
admin_graphql_variant_bulk_input,Shopify Admin,2026-07 latest stable,Variant create/update input schema,WRITE,variant writable fields and nested inventory/media/metafield inputs,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/input-objects/ProductVariantsBulkInput
admin_graphql_options,Shopify Admin,2026-07 latest stable,Product options/value schema and mutations,READ/WRITE,variant dimension/value identity and linked metafield semantics,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/ProductOption
admin_graphql_inventory,Shopify Admin,2026-07 latest stable,InventoryItem/InventoryLevel/quantity states,READ/WRITE via inventory mutations,"inventory, logistics, customs, quantity-state inventory",quarterly API baseline + live capability checks,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/InventoryItem
admin_graphql_inventory_mutations,Shopify Admin,2026-07 latest stable,inventory quantity write semantics,WRITE; delta and compare-and-set absolute modes,concurrency/source-of-truth semantics,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/mutations/inventorySetQuantities
admin_graphql_metafields,Shopify Admin,2026-07 latest stable,Metafield/MetafieldDefinition schema,READ/WRITE,"dynamic object-scoped fields, ownership, types, validations",quarterly API baseline + standard definitions,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/MetafieldDefinition
shopify_standard_metafields,Shopify ecosystem,current official list,standard interoperable metafield vocabulary,READ/WRITE when definition/access permits,cross-platform semantic candidates and Shopify-reserved definitions,continuous official list review,https://shopify.dev/docs/apps/build/metafields/list-of-standard-definitions
admin_graphql_metaobjects,Shopify Admin,2026-07 latest stable,Metaobject/definition structured custom data,READ/WRITE,structured reusable custom entities/references,quarterly API baseline + standard definitions,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/MetaobjectDefinition
shopify_standard_metaobjects,Shopify ecosystem,current official list,standard structured definitions,mixed READ/WRITE by definition/access,taxonomy/reviews/structured ecosystem vocabulary,continuous official list review,https://shopify.dev/docs/apps/build/metaobjects/list-of-standard-definitions
shopify_product_taxonomy,Shopify ecosystem,ProductTaxonomy 1.2.0; main@ad206247ecc45a95fe4b01bce2ad2f0e7bec3c66; attributes.yml blob 455818cf3a5ae41f1db23c244adf1b5694691b88,standard product categories/attributes/values,repository definition + Admin API references,taxonomy/category-specific attribute vocabulary,pin upstream commit/blob per research baseline; re-diff on taxonomy release,https://github.com/Shopify/product-taxonomy
admin_graphql_collections,Shopify Admin,2026-07 latest stable,Collection relations/grouping,READ/WRITE,"merchant grouping, rules, sort and publication",quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/Collection
admin_graphql_publication,Shopify Admin,2026-07 latest stable,Publication / Publishable channel visibility,READ/WRITE via publish/unpublish,channel publication context and scheduling,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/Publication
admin_graphql_catalogs_markets,Shopify Admin Markets/B2B,2026-07 latest stable,Catalog/MarketCatalog/CompanyLocationCatalog,READ/WRITE through catalog operations,market/B2B selection + price/publication context,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/interfaces/Catalog
admin_graphql_pricelists,Shopify Admin Markets/B2B,2026-07 latest stable,PriceList/fixed prices/quantity rules,READ/WRITE,contextual price override/adjustment/quantity pricing,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/PriceList
admin_graphql_media,Shopify Admin,2026-07 latest stable,Media interface + Product media mutations,READ/WRITE via media create/update/delete/association mutations,image/video/3D/external-video semantics,quarterly API baseline + changelog,https://shopify.dev/docs/api/admin-graphql/2026-07/interfaces/Media
admin_graphql_bundles,Shopify Admin bundle feature,2026-07 latest stable,product/variant component relationships,READ/WRITE; app ownership and feature access constraints,bundle composition topology,quarterly API baseline + feature availability checks,https://shopify.dev/docs/api/admin-graphql/2026-07/mutations/productVariantRelationshipBulkUpdate
admin_graphql_combined_listings,Shopify Plus / eligible shops where feature available,2026-07 latest stable,CombinedListing parent/child product family,READ/WRITE via combined-listing operations where entitled,cross-product merchandising composition,quarterly API baseline + feature availability checks,https://shopify.dev/docs/api/admin-graphql/2026-07/objects/CombinedListing
